food_type,year,expenditure
Beverages,1976-1980,0.267712599
Beverages,1981-1985,0.377262793
Beverages,1986-1990,0.491550506
Beverages,1991-1995,0.5074938
Beverages,1996-2000,0.518036472
Beverages,2001-2005,0.419694292
Beverages,2006-2010,0.455818301
Beverages,2011-2015,0.550016779
Beverages,2016-2020,0.61116353
Biscuits and crispbreads,1976-1980,0.213669168
Biscuits and crispbreads,1981-1985,0.303193397
Biscuits and crispbreads,1986-1990,0.380560793
Biscuits and crispbreads,1991-1995,0.453036603
Biscuits and crispbreads,1996-2000,0.509766407
Biscuits and crispbreads,2001-2005,0.523964052
Biscuits and crispbreads,2006-2010,0.615417278
Biscuits and crispbreads,2011-2015,0.744444426
Biscuits and crispbreads,2016-2020,0.781417018
Bread,1976-1980,0.369213015
Bread,1981-1985,0.545132351
Bread,1986-1990,0.699311835
Bread,1991-1995,0.75261217
Bread,1996-2000,0.79645919
Bread,2001-2005,0.906969503
Bread,2006-2010,1.12226439
Bread,2011-2015,1.197402496
Bread,2016-2020,1.171818535
"Cakes, buns and pastries",1976-1980,0.185809955
"Cakes, buns and pastries",1981-1985,0.281056746
"Cakes, buns and pastries",1986-1990,0.371970297
"Cakes, buns and pastries",1991-1995,0.47491698
"Cakes, buns and pastries",1996-2000,0.575453026
"Cakes, buns and pastries",2001-2005,0.579454812
"Cakes, buns and pastries",2006-2010,0.621636901
"Cakes, buns and pastries",2011-2015,0.688985526
"Cakes, buns and pastries",2016-2020,0.760214533
Carcase meat,1976-1980,0.811916467
Carcase meat,1981-1985,1.067381539
Carcase meat,1986-1990,1.151212991
Carcase meat,1991-1995,1.082412281
Carcase meat,1996-2000,1.024624101
Carcase meat,2001-2005,1.097160141
Carcase meat,2006-2010,1.241334385
Carcase meat,2011-2015,1.355018904
Carcase meat,2016-2020,1.305205829
Cheese,1976-1980,0.175482258
Cheese,1981-1985,0.286308716
Cheese,1986-1990,0.374269025
Cheese,1991-1995,0.465014247
Cheese,1996-2000,0.528995014
Cheese,2001-2005,0.593256957
Cheese,2006-2010,0.71130586
Cheese,2011-2015,0.810384756
Cheese,2016-2020,0.867619214
Eggs,1976-1980,0.149967375
Eggs,1981-1985,0.188016946
Eggs,1986-1990,0.178379646
Eggs,1991-1995,0.167314488
Eggs,1996-2000,0.16099682
Eggs,2001-2005,0.178220599
Eggs,2006-2010,0.245620003
Eggs,2011-2015,0.295438649
Eggs,2016-2020,0.302698338
Fats,1976-1980,0.276791339
Fats,1981-1985,0.346905434
Fats,1986-1990,0.356974648
Fats,1991-1995,0.375318824
Fats,1996-2000,0.376447559
Fats,2001-2005,0.367812878
Fats,2006-2010,0.45177242
Fats,2011-2015,0.533558908
Fats,2016-2020,0.543552968
Fish,1976-1980,0.246502092
Fish,1981-1985,0.39656911
Fish,1986-1990,0.591270247
Fish,1991-1995,0.71766193
Fish,1996-2000,0.797099852
Fish,2001-2005,0.965580141
Fish,2006-2010,1.151026814
Fish,2011-2015,1.274618009
Fish,2016-2020,1.38839219
Flour,1976-1980,0.036036487
Flour,1981-1985,0.039590828
Flour,1986-1990,0.038321289
Flour,1991-1995,0.033141383
Flour,1996-2000,0.025334709
Flour,2001-2005,0.026990443
Flour,2006-2010,0.036678426
Flour,2011-2015,0.049789673
Flour,2016-2020,0.046206772
Fresh fruit,1976-1980,0.221848245
Fresh fruit,1981-1985,0.352706668
Fresh fruit,1986-1990,0.549793
Fresh fruit,1991-1995,0.728506903
Fresh fruit,1996-2000,0.913395078
Fresh fruit,2001-2005,1.153653402
Fresh fruit,2006-2010,1.393529286
Fresh fruit,2011-2015,1.55658389
Fresh fruit,2016-2020,1.819418146
Fresh green vegetables,1976-1980,0.087532819
Fresh green vegetables,1981-1985,0.134418242
Fresh green vegetables,1986-1990,0.195621864
Fresh green vegetables,1991-1995,0.252418616
Fresh green vegetables,1996-2000,0.326060017
Fresh green vegetables,2001-2005,0.420323355
Fresh green vegetables,2006-2010,0.468950036
Fresh green vegetables,2011-2015,0.495450607
Fresh green vegetables,2016-2020,0.486569085
Fresh potatoes,1976-1980,0.164703082
Fresh potatoes,1981-1985,0.207889679
Fresh potatoes,1986-1990,0.243610798
Fresh potatoes,1991-1995,0.290020751
Fresh potatoes,1996-2000,0.317856877
Fresh potatoes,2001-2005,0.332488132
Fresh potatoes,2006-2010,0.367400804
Fresh potatoes,2011-2015,0.372648424
Fresh potatoes,2016-2020,0.321388254
